"DESCRIPTION_RPA"|"CODE_RPA"
"\A 08h-09h30 LUN. AU VEN."|"AV-AB"
"\A 07h-09h LUN. AU VEN."|"AV-AC"
"\A 05h30-09h LUN. AU VEN."|"AV-AE"
"\A 06h-09h LUN. AU VEN."|"AV-AF"
"\A 07h30-09h30 LUN. AU VEN."|"AV-AG"
"\A 06h-09h30 LUN. AU VEN."|"AV-AH"
"\A 06h-10h LUN. AU VEN."|"AV-AI"
"\A 08h-09h  LUN. AU VEN."|"AV-AJ"
"\A 06h30-09h LUN. AU VEN."|"AV-AK"
"\A 05h-09h LUN A VEN"|"AV-AL"
"\A 07h30-9h LUN. A VEN."|"AV-AM"
"\A 05h-09h30 LUN. AU VEN."|"AV-AN"
"\A 05h30-09h30  15h-19h LUNDI AU VENDREDI"|"AV-DA"
"\A 06h30-09h30  15h30-18h30 LUN. AU VEN."|"AV-DB"
"\A 06h30-09h30 LUN. AU VEN."|"AV-DC"
"\A 08h-09h30  15h30-18h30 LUNDI AU VENDREDI"|"AV-DE"
"\A 06h30-09h30  16h-18h LUNDI AU VENDREDI"|"AV-DF"
"\A 06h30-09h30  16h-18h30 LUN. AU VEN."|"AV-DG"
"\A 06h-09h30  15h-18h30 LUNDI AU VENDREDI"|"AV-DH"
"\A 07h-19h LUN. AU VEN."|"AV-JA"
"\A 07h-22h LUN. AU VEN."|"AV-JC"
"\A 08h-19h LUN. AU VEN."|"AV-JD"
"\A 07h30-16h LUN. AU VEN."|"AV-JE"
"\A 08h-23h LUN. AU VEN."|"AV-JF"
"\A 08h-16h LUN A VEN"|"AV-JG"
"\A 7h-18h30 LUN A VEN"|"AV-JH"
"\A 06h-19h LUN A VEN"|"AV-JI"
"\A 06h30-18h30 LUN A VEN"|"AV-JJ"
"\A 07h-18h LUN. AU VEN."|"AV-OC"
"\A 08h-18h  LUN. AU VEN."|"AV-OD"
"\A 14h30-15h30 LUN A VEN"|"AV-PA"
"\A 15h30-17h30 LUN. AU VEN."|"AV-PB"
"\A 14h-18h30 LUN. A VEN."|"AV-PC"
"\A 16h-18h30 LUN. AU VEN."|"AV-PF"
"\A 16h-18h LUN. AU VEN."|"AV-PJ"
"\A 15h30-18h LUN. AU VEN."|"AV-PK"
"\A 15h30-18h30 LUN. AU VEN."|"AV-PL"
"\A 15h-19h LUN. AU VEN."|"AV-PN"
"\A 15h-18h30 LUN. AU VEN."|"AV-PP"
"\A 16h-17h30 LUN A VEN"|"AV-PQ"
"\A 14h30-18h30 LUN A VEN"|"AV-PR"
"\A 06h-09h  15h-18h30 LUN. AU VEN."|"AV-QA"
"\A 07h-09h30  16h-18h30 LUN. AU VEN."|"AV-QB"
"\A 08h-09h30  16h-18h30 LUN. AU VEN."|"AV-QC"
"\A 07h-09h30  16h-18h LUN. AU VEN."|"AV-QD"
"\A 08h-09h30  16h-18h LUN. AU VEN."|"AV-QE"
"\A 06h-09h30  15h-19h LUN. AU VEN."|"AV-QG"
"\A 05h30-09h  16h-18h30 LUN. AU VEN."|"AV-QH"
"\A 07h-09h  16h-18h LUN. AU VEN."|"AV-QI"
"\A 06h-09h  15h30-18h LUN. AU VEN."|"AV-QJ"
"\A 07h-09h30  15h30-17h30 LUN. AU VEN."|"AV-QK"
"\A 07h-09h30  15h30-18h30 LUN. AU VEN."|"AV-QL"
"\A 06h30-09h30  15h30-17h30 LUN. AU VEN."|"AV-QR"
"\A 05h30-09h  15h-19h LUN. AU VEN."|"AV-QS"
"\A 07h-09h  16h-18h30 LUN. AU VEN."|"AV-QU"
"\A 06h-09h  16h-18h LUN. AU VEN."|"AV-QV"
"\A 08h-09h30  15h-19h LUN. AU VEN."|"AV-QY"
"\A 07h-09h30  15h-19h LUN. AU VEN."|"AV-QZ"
"\A 07h-09h30  15h-18h30 LUN. AU VEN."|"AV-RA"
"\A 06h-10h  15h30-19h30 LUN. AU VEN."|"AV-RB"
"\A 06h-10h  15h-19h LUN. AU VEN."|"AV-RC"
"\A 06h-09h  15h30-18h30 LUN. AU VEN."|"AV-RD"
"\A 08h-09h30  15h-18h30 LUN. AU VEN."|"AV-RF"
"\A 05h-09h   15h30-18h30  LUN A VEN"|"AV-RJ"
"\A 06h30-09h  16h-18h30 LUN A VEN"|"AV-RK"
"\A 07h-09h30  14h30-18h30 LUN A VEN"|"AV-RL"
"\A 05h30-09h30  14h30-18h30 LUN A VEN"|"AV-RM"
"\A 05h-09h30  14h-18h30 LUN. A VEN"|"AV-RO"
"panneau bidon pour St-Léonard"|"BIDON"
"Arrêt d'autobus"|"BUS"
"ACHEMINEMENT CANAL LACHINE - FLECHE A DROITE"|"CA-1"
"ACHEMINEMENT CANAL LACHINE - FLECHE A GAUCHE"|"CA-2"
"ACHEMINEMENT CANAL LACHINE - FLECHE TOUT DROIT"|"CA-3"
"AUTOCOLLANT DE PARCOMETRE - ARRET INTERDIT"|"CI-AA"
"AUTOCOLLANT DE PARCOMETRE - ARRET INTERDIT"|"CI-AB"
"AUTOCOLLANT DE PARCOMETRE - STAT. INTERDIT"|"CI-AF"
"AUTOCOLLANT SIGN. PARC ""CHIENS INTERDITS"""|"CX-A"
"AUTOCOLLANT SIGN. PARC ""USAGE EXCLUSIF ENFANTS 2-6 ANS"|"CX-AB"
"AUTOCOLLANT SIGN. PARC ""AUTO INTERDITE"""|"CX-AU"
"AUTOCOLLANT SIGN. PARC"|"CX-AY"
"AUTOCOLLANT SIGN. PARC"|"CX-AZ"
"AUTOCOLLANT SIGN. PARC"|"CX-B"
"AUTOCOLLANT SIGN. PARC"|"CX-BA"
"AUTOCOLLANT SIGN. PARC"|"CX-BB"
"AUTOCOLLANT SIGN. PARC ""INTERDIT NOURRIR PIGEONS"""|"CX-BC"
"AUTOCOLLANT SIGN. PARC INTERDIT AUX PATINS A ROULETTES"|"CX-BN"
"AUTOCOLLANT SIGN. PARC ""INTERDIT DE JOUER AU GOLF"""|"CX-C"
"AUTOCOLLANT SIGN. PARC"|"CX-F"
"AUTOCOLLANT SIGN. PARC"|"CX-G"
"AUTOCOLLANT SIGN. PARC"|"CX-J"
"AUTOCOLLANT SIGN. PARC"|"CX-L"
"AUTOCOLLANT SIGN. PARC"|"CX-M"
"AUTOCOLLANT SIGN. PARC ""MOTO INTERDITE"""|"CX-MO"
"AUTOCOLLANT SIGN. PARC"|"CX-O"
"AUTOCOLLANT SIGN. PARC"|"CX-Q"
"AUTOCOLLANT SIGN. PARC"|"CX-R"
"AUTOCOLLANT SIGN. PARC"|"CX-S"
"""CHAMBRE DE VANNE"" LOGO NOIR SUR FOND JAUNE"|"D-AA"
"FLECHE A GAUCHE OU A DROITE POUR PANNEAU JAUNE ET NOIR"|"D-AB"
"FLECHE TOUT DROIT POUR PANNEAU JAUNE ET NOIR"|"D-AC"
"""BOMBARDIER INTERDIT"" (LARG. INSUFFISANTE OU FIN TROT.)"|"D-AD"
"PANONCEAU ""ACCES INTERDIT"""|"D-AE"
"AFFICHEUR DE VITESSE (23""X29"")"|"D-AV-1"
"AFFICHEUR DE VITESSE (30""X42"")"|"D-AV-2"
"BORNE-FONTAINE - LOGO NOIR SUR FOND JAUNE"|"D-BF"
"AUTOCOLLANT - CE COTE - (POUR PANNEAU DE STATIONNEMENT)"|"D-CC"
"BORNES SIAMOISES"|"D-CE"
"VOUS NE ROULEZ PAS? COUPEZ LE MOTEUR! (600 x 300)"|"D-CM"
"VOUS NE ROULEZ PAS? COUPEZ LE MOTEUR! (1200 x 600)"|"D-CM-20"
"CORRIDOR SCOLAIRE"|"D-CS"
"CORRIDOR SCOLAIRE AHUNTSIC-CARTIERVILLE"|"D-CSA"
"CORRIDOR SCOLAIRE SUD-OUEST"|"D-CSSO"
"RALENTISSEZ C'EST PAYANT - 71 kM/h = 100$ + 2 POINTS ..."|"D-CUM-01"
"SI VOUS ROULEZ A .......DANS UNE ZONE DE 50 km/h"|"D-CUM-50"
"SI VOUS ROULEZ A .......DANS UNE ZONE DE 70 kh/h"|"D-CUM-70"
"PROPRIETE DE LA VILLE"|"D-LV"
"PROPRIETE DE LA VILLE INFORMATION 514-872-3780"|"D-LV-I"
"L'EPREUVE DU MONT-ROYAL (EXPLOITS CYCLISTES)"|"D-MR-*"
"PROMENADE FLEURY"|"D-PF"
"PARCOMETRE"|"D-PH"
"PROMENADE MASSON"|"D-PM"
"RUELLE VERTE"|"D-RV"
"STATIONNEMENT RESERVE EDIFICE ALBERT-DUMOUCHEL"|"D-SAD"
"TOUR EN FIACRE -  TARIF  60 $/HEURE - 35 $ 1/2 heure"|"D-TF"
"TAXIS TETE DE STATION"|"D-TP"
"AUTOCOL. PIETON (UTILISER AVEC DX-A OU DX-B)"|"DX-E"
"ANNULE \P 09h30-10h30 MAR.VEN. 1 MARS AU 1 DEC. ENTRETI"|"EB-AH"
"ANNULE \P 09h-12h LUN. ET JEU. 1 MARS AU 1 DEC. ENTRETI"|"EB-AJ"
"ANNULE \P 07h-09h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN"|"EB-AX"
"ANNULE \P 07h-09h MAR. VEN. 1 MARS AU 1 DEC. ENTRETIEN"|"EB-AY"
"ANNULE \P 13h-16h LUN. ET JEU. 1 MARS AU 1 DEC. ENTRETI"|"EB-PG"
"ANNULE \P 19h-24h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN"|"EB-SB"
"ANNULE \P 08h-10h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN"|"EB-VX"
"ANNULE \P 13h-16h VEN. 1 MARS AU 1 DEC. ENTRETIEN"|"EU-PS"
"\P 07h-19h CLIGNOTANT 22h-07h FIXE"|"EU-TA"
"\P ENTRETIEN (ORANGE) 07h-19h ou 19h-07h (flexible)"|"EU-TF+F"
"\P 10h-22h CLIGNOTANT 22h-10h FIXE"|"EU-TG"
"\P 07h-19h CLIGNOTANT 19h-07h FIXE"|"EU-TO"
"ANNULE \P 09h-12h LUN. 1 MARS AU 1 DEC. ENTRETIEN"|"EU-VA"
"ANNULE \P 09h-12h MAR. 1 MARS AU 1 DEC. ENTRETIEN"|"EU-VB"
"ANNULE \P 09h-12h VEN. 1 MARS AU 1 DEC. ENTRETIEN"|"EU-VD"
"ANNULE \P 09h-12h MER. 1 MARS AU 1 DEC. ENTRETIEN"|"EU-VM"
"ANNULE \P 08h-09h LUN. AU VEN. 1 MARS AU 1 DEC. ENTRETI"|"EV-VH"
"PANONCEAU FLECHE POUR PANNEAUX AUT. DU MTQ"|"FB-*"
"EST FOND BLEU"|"FB-E"
"FIN"|"FB-F"
"NORD FOND BLEU"|"FB-N"
"OUEST FOND BLEU"|"FB-O"
"SUD FOND BLEU"|"FB-S"
"AUTOROUTE 10"|"G-10"
"ROUTE 112  (fourni par le MTQ)"|"G-112"
"ROUTE 117  -  FOND VERT   (boul. Laurentien)"|"G-117"
"ROUTE 125  -  FOND VERT  (Pie-IX)"|"G-125"
"ROUTE 134  -  FOND VERT  (boul. Tachereau)"|"G-134"
"ROUTE 138  -  FOND VERT  (Sherbrooke)"|"G-138"
"AUTOROUTE 15  -  FOND BLEU"|"G-15"
"Panneaux d'autoroute 19  (fourni par MTQ)"|"G-19"
"AUTOROUTE 20"|"G-20"
"AUTOROUTE 25  -  FOND BLEU"|"G-25"
"ROUTE 335  -  FOND VERT  (St-Denis)"|"G-335"
"AUTOROUTE 40  -  FOND BLEU"|"G-40"
"AUTOROUTE 720  - FOND BLEU"|"G-720"
"NORD"|"GA-A"
"XXX M (PANONCEAU DE DISTANCE)"|"GA-AA"
"XXX KM (PANONCEAU DE DISTANCE)"|"GA-AB"
"IMPASSE CIRCULATION LOCALE SEULEMENT"|"GA-B"
"SUD"|"GA-C"
"SUD"|"GA-C-1"
"DEMI-TOUR                        * = FLECHE"|"GA-DT-*"
"EST"|"GA-E"
"54e AVENUE VIA DEMI-TOUR        *=FLECHE"|"GA-F-*"
"OUEST"|"GA-G"
"OUEST"|"GA-G-1"
"GARDERIE (PICTOGRAMME)"|"GA-GA"
"BIBLIOTHEQUE (PICTOGRAMME)"|"GA-GB"
"CENTRE COMMUNAUTAIRE (PICTOGRAMME)"|"GA-GC"
"ARENA (PICTOGRAMME)"|"GA-GD"
"EGLISE (PICTOGRAMME)"|"GA-GE"
"GARE FERROVIAIRE (PICTOGRAMME)"|"GA-GF"
"PISCINE EXTERIEURE (PICTOGRAMME)"|"GA-GG"
"PISCINE INTERIEURE (PICTOGRAMME)"|"GA-GH"
"TRAIN DE BANLIEU (FOURNI PAR MTQ)"|"GA-GL"
"GOLF  "|"GA-GM"
"ROULODOME ET SKATEPARK"|"GA-GN"
"BASEBALL, TENNIS, PATINOIR, STATIONNEMENT"|"GA-GO"
"IMPASSE (NOM DE LA RUE)"|"GA-H"
"RUE NOTRE-DAME EST VIA DEMI-TOUR"|"GA-I-*"
"RUE RIVARD SENS DE RUE MODIFIE EN VIGUEUR 21 FEVRIER 2011"|"GA-J"
"RUELLE FERMEE DU 1ER MAI AU 1ER NOV."|"GA-L"
"CIRCULATION LOCALE SEULEMENT"|"GA-Q"
"ACHEMINEMENT CAMION"|"GA-R"
"TEST DE CHAUSSEE COLOREE"|"GA-T"
"ACCES 400 A 500 ST-PAUL E., AUTO T.DROIT,CAMION A GAUCH"|"GA-TA"
"ACCES 400 A 500 ST-PAUL EST   *=FLECHE"|"GA-TC-*"
"ACCES 7075 Boul.GOUIN EST"|"GA-TF-*"
"HOTEL DE VILLE, COUR MINIC., CHAUSSEGROS..., P.JUSTICE"|"GB-A"
"HOTEL DE VILLE, COUR MUNIC., CHAUSSEGROS..., P.JUSTICE"|"GB-B"
"HOTEL DE VILLE, COUR MUNIC., CHAUSSEGROS..., P.JUSTICE"|"GB-C"
"NAVETTE - PARC JEAN-DRAPEAU-LONGUEUIL (PIETONS + CYCLISTES)"|"GB-D-*"
"PONT JACQUES CARTIER (AVEC FLECHE APPROPRIEE)"|"GC-AA-*"
"RUE CENTRE FL.3"|"GC-AB"
"PONT VICTORIA (VIA RUES WILLIAM ET DES SEIGNEURS) FL.2"|"GC-AD"
"PONT DES SEIGNEURS MAXIMUM 16 TONNES"|"GC-AE"
"RUE NOTRE-DAME - * SELON DIR. FLECHES"|"GC-AG-*"
"CENTRE-VILLE - * SELON DIR. FLECHES"|"GC-AI-*"
"PONT CHAMPLAIN - * SELON DIR. FLECHES"|"GC-AJ-*"
"PONT PAPINEAU-LEBLANC    * = FLECHE"|"GC-AK-*"
"MARCHE ATWATER"|"GC-AN-*"
"MARCHE ST-JACQUES"|"GC-AO-*"
"MARCHE MAISONNEUVE"|"GC-AP-*"
"MARCHE JEAN-TALON"|"GC-AQ-*"
"RUE D'IBERVILLE       *=FLECHE"|"GC-AS-*"
"BOULEVARD SAINT-JOSEPH     *=FLECHE"|"GC-AT-*"
"RUE LACORDAIRE             *=FLECHE"|"GC-AU-*"
"RUE SHERBROOKE             *=FLECHE"|"GC-AV-*"
"PONT WELLINGTON            *=FLECHE"|"GC-AW-*"
"BOUL. DE L'ACADIE          *=FLECHE"|"GC-AX-*"
"AVENUE CORONATION VIA MONKLAND    *=FLECHE"|"GC-AZ-*"
"2324 ET 2425 RUE JOLIETTE   *=FLECHE"|"GC-BA-*"
"PLAZA MONK   *=FLECHE"|"GC-BB-*"
"MARCHE PUBLIC DU VIEUX POINTE-AUX-TREMBLES"|"GC-BD-*"
"MONTREAL              * = FLECHE"|"GC-BE-*"
"PLACE TURCOT     * = FLECHE"|"GC-BF-*"
"RUE JEAN-TALON   (* = FLECHE)"|"GC-BG-*"
"RUE SHERBROOKE       * = FLECHE "|"GC-BH-*"
"RUE JEAN-TALON, FL.1 - EST"|"GC-BI"
"RUE JEAN-TALON, FL.13 - EST"|"GC-BJ"
"RUE JEAN-TALON, FL.3 - EST"|"GC-BK"
"RUE JEAN-TALON - FL.2, OUEST   EST, FL.3"|"GC-BL"
"RUE JARRY, FL.1 (ALLONGEE) - EST"|"GC-BM"
"RUE JARRY, FL.1 (ALLONGEE) - OUEST"|"GC-BN"
"RUE JARRY, FL.3 - OUEST"|"GC-BO"
"RUE JARRY, FL.3 - EST"|"GC-BP"
"RUE JARRY, FL.13 - EST"|"GC-BQ"
"RUE JARRY, FL.13 - OUEST"|"GC-BR"
"RUE JARRY - FL.2, OUEST   EST, FL.3"|"GC-BS"
"RUE JARRY - FL.2, EST   OUEST, FL.3"|"GC-BT"
"TUNNEL ATWATER"|"GC-BV-*"
"RUE JOLICOEUR      *= FLECHE"|"GC-BX-*"
"FLECHE 2 - PONT VICTORIA"|"GC-F-1"
"FLECHE 1 - PONT VICTORIA"|"GC-F-2"
"FLECHE 3 - PONT VICTORIA"|"GC-F-3"
"RUE HOGAN FLECHE A"|"GC-H-3"
"FLECHE 3 - CENTRE - ST-PATRICK"|"GC-K"
"RUE ONTARIO, TOUT DROIT, A DROITE"|"GC-OO-13"
"FLECHE 2 - PARC ANGRIGNON"|"GC-Q-1"
"FLECHE 3 - PARC ANGRIGNON"|"GC-Q-3"
"FLECHE 1 - SORTIE"|"GC-R-3"
"FLECHE 3 - SORTIE"|"GC-R-5"
"RUE SHERBROOKE FLECHE A GAUCHE"|"GC-SH-12"
"FLECHE 2 - BOUL. ST-LAURENT"|"GC-SL-*"
"SECURITE INCENDIE (4040, AV. DU PARC)"|"GC-U-1"
"SECURITE INCENDIE - QUARTIER GENERAL - FLECHE"|"GC-U-2"
"FLECHE 3 - CIMETIERE MONT-ROYAL"|"GC-V"
"FLECHE 2 - VERDUN"|"GC-X"
"FLECHE 3 - VERDUN"|"GC-X-04"
"FLECHE 2 - AV. DE L'EGLISE"|"GC-X-10"
"FLECHE 3 - SITE HISTORIQUE - MAISON ST-GABRIEL"|"GC-Z-05"
"FLECHE 1 - MONTREAL"|"GC-Z-17"
"FLECHE 3 - RUE SHERBROOKE, BOUL. PIE IX"|"GC-Z-45"
"FLECHE 12 - BOUL. LAURENTIEN"|"GC-Z-56"
"FLECHE 2 - RUE ST-JACQUES"|"GC-Z-64"
"FLECHE 3 - RUE ST-JACQUES"|"GC-Z-64A"
"FLECHE 1 - RUE ST-JACQUES"|"GC-Z-64B"
"FLECHE 3 - BOUL. TRICENTENAIRE"|"GC-Z-74"
"FLECHE 2 - 669 ET 755 EST, BOUL. HENRI-BOURASSA"|"GC-Z-81-1"
"669 ET 755 EST, BOUL. HENRI-BOURASSA, FLECHE 3"|"GC-Z-81-2"
"RUE UNIVERSITY NORD, VIA MANSFIELD, FLECHE 1"|"GC-Z-92"
"FLECHE 12, RUE UNIVERSITY NORD, VIA MANSFIELD"|"GC-Z-93"
"RUE UNIVERSITY NORD, FLECHE 3"|"GC-Z-94"
"FLECHE 12, RUE UNIVERSITY NORD"|"GC-Z-95"
"FL. 4 MARCHE ATWATER - VOIE DE GAUCHE"|"GC-Z-96"
"CHEMIN QUEEN MARY, OUEST, FLECHE 5"|"GD-A"
"RUE JARRY EST - * SELON DIR. FLECHES"|"GD-AB-*"
"669 A 755 EST HENRI-BOURASSA (VIA RUE MILLEN)"|"GD-AC-*"
"BOUL. HENRI-BOURASSA - * SELON FLECHE"|"GD-AE-*"
"RUE LACORDAIRE NORD=FLECHE 2, SUD=FLECHE 3"|"GD-AH"
"BOUL. ROBERT EST   * = FLECHE"|"GD-AI-*"
"RUE ST-URBAIN, SUD, FLECHE 3"|"GD-B"
"BOUL. ST-LAURENT, FLECHE 2, NORD"|"GD-C"
"ROUTE 40, EST, FLECHE 5, BOUL. METROPOLITAIN"|"GD-F-2"
"RUE SHERBROOKE, FLECHE 2, EST"|"GD-G"
"RUE SHERBROOKE, EST, FLECHE 3"|"GD-G-1"
"METROPOLITAIN, EST, FLECHE 3"|"GD-I"
"BOUL. ST-LAURENT, FLECHE 2, SUD"|"GD-J"
"BOUL. ST-LAURENT, NORD, FLECHE 5"|"GD-O"
"FL. 2, RUE SHERBROOKE, EST - FL. 2, BOUL PIE IX"|"GD-P"
"BOUL.GOUIN, FLECHE 2, EST"|"GD-Q"
"PONT LACHAPELLE, FLECHE 2, NORD"|"GD-R"
"CLARK, FLECHE 2, SUD"|"GD-T"
"CLARK, SUD, FLECHE 5"|"GD-U"
"BOUL. DE L'ACADIE, FLECHE 4, SUD - NORD, FLECHE 5"|"GD-V"
"FLECHE 4, AV. DU MONT-ROYAL - CH. COTE-DES-NEIGES"|"GE-A"
"RUE SHERBROOKE, FLECHE 1 - RUE RACHEL, FLECHE 5"|"GE-AA"
"AV. LOUIS-HEBERT, RUE CHAPLEAU, FLECHE AU CHOIX"|"GE-AB-*"
"FLECHE 1, RUE JARRY - VOIE LOCALE (RUE JARRY), FL.5"|"GE-AC"
"FLECHE 4, CH. COTE-DES-NEIGES - AV. DU MONT-ROYAL, FLEC"|"GE-B"
"FLECHE 4, CH. COTE-DES-NEIGES - AV. DU MONT-ROYAL, FLEC"|"GE-B-1"
"FLECHE 2, AV. DU MONT-ROYAL - CH. COTE-DES-NEIGES"|"GE-B-2"
"FLECHE 4, RUE HOCHELAGA - RUE SHERBROOKE"|"GE-C-1"
"FLECHE 4, JARRY - CREMAZIE, FLECHE 5"|"GE-D"
"FLECHE 4, AV. DES PINS - AV. DU PARC, FLECHE 5"|"GE-F"
"FLECHE 4, Q.G. INCENDIE - AV. DU PARC, FLECHE 5"|"GE-G"
"FLECHE 4, UPPER LACHINE - ST-JACQUES, FLECHE 5"|"GE-L"
"FL. 2, UPPER LACHINE, ST-JACQUES"|"GE-LA-2"
"CHERRIER OUEST FLECHE 4, EST FLECHE 5 - SHERBROOKE FLEC"|"GE-O"
"RUE ST-PATRICK, RUE CENTRE FL.3"|"GE-QA"
"RUE NOTRE-DAME FL.2 - PONT VICTORIA FL.1"|"GE-QC"
"BL. MONK FL.3 - DE LA VERENDRYE FL.1"|"GE-QD"
"PONT CHAMPLAIN, VERDUN FL.2"|"GE-QG"
"9021A9121 ET 9020A9200 FL.2 - 9027A9237ET9036A9156 FL.3"|"GE-QL"
"9027A9237 ET 9036A9156 FL.2 - 9021A9121ET9020A9200 FL.3"|"GE-QM"
"FLECHE 4, SHERBROOKE  -  FLECHE 5, H.-BOURASSA"|"GE-QN"
"HENRI BOURASSA FLECHE 1-MARIEN FLECHE 5"|"GE-QO"
"RUES HOCHELAGA ET SHERBROOKE  -  FLECHE 3"|"GE-QP"
"A-15.20, FL.1 (ALLONGEE)  -  DE L'EGLISE NORD ET SUD, FL.13"|"GE-QQ"
"FLECHE 4, UNIVERSITE DE MONTREAL - SUD + OUEST, FLECHE"|"GE-R"
"FLECHE 1, UNIVERSITE DE MONTREAL - FLECHE 2 EST + NORD"|"GE-S-1"
"FL. 4, ROUTES 10,15,20, PONT CHAMP.-ROUTES 20,132,134 P"|"GE-T-08"
"ROUTES 10, 15, 20, PONT CHAMPLAIN, FLECHE 2"|"GE-T-17"
"ROUTES 10, 15, 20, PONT CHAMPLAIN, FLECHE 3"|"GE-T-19"
"FLECHE 4, SHERBROOKE - CHERRIER, FLECHE 5"|"GE-Y"
"FLECHE 1, VERDUN - AV. DE L`EGLISE, FLECHE 3"|"GE-Z-03"
"FLECHE 4, RUE JARRY - FLECHE 4, BOUL. CREMAZIE"|"GE-Z-05"
"FLECHE 4, EST + SUD - AV. DES PINS, OUEST, FLECHE 5"|"GF-A"
"FLECHE 2, CLARK, SUD - ST-URBAIN, FLECHE 1"|"GF-G"
"FLECHE 4, PONT JACQUES-CARTIER - SUD + EST, FLECHE 1"|"GG-F"
"FLECHE 1, PONT JACQUES-CARTIER - EST + SUD, FLECHE 3"|"GG-F-01"
"FLECHE 2, NORD + OUEST - PONT JACQUES-CARTIER, FLECHE 5"|"GG-F-02"
"FL.1, RUE GUY - STE-CATHERINE, RENE-LEVESQUE, FLECHE 5"|"GG-I"
"TUNNEL WELLINGTON, RUE ST-PATRICK FL.2-RUE ATWATER FL.1"|"GG-KA"
"TUNNEL WELLINGTON, RUE ST-PATRICK FL.1-RUE ATWATER FL.3"|"GG-KB"
"RUE WELLINGTON, RUE ST-PATRICK, PONT VICTORIA FL.1"|"GG-KC"
"RUE ST-PATRICK, RUE CENTRE FL.2 - RUE ATWATER FL.1"|"GG-KE"
"RUE ATWATER FL.1 - RUE ST-PATRICK, RUE CENTRE FL.2"|"GG-KF"
"TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.5"|"GG-KG"
"TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.3"|"GG-KH"
"TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.2"|"GG-KI"
"RUE CENTRE, PONT VICTORIA, RUE CHARLEVOIX FL.3"|"GG-KJ"
"TUNNEL ATWATER, RUE NOTRE-DAME FL.2-PONT CHAMPLAIN FL.1"|"GG-KK"
"RUE ST-PATRICK FL.3-TUNNEL ATWATER, RUE NOTRE-DAME FL.5"|"GG-KL"
"RUE CENTRE,RUE WELLING.FL.1-PONT CHAMP.FL.3-VERDUN FL.2"|"GG-KM"
"RUE NOTRE-DAME FL.3-RUE CENTRE,RUE WELLINGTON FL.2-PONT"|"GG-KN"
"RUE NOTRE-DAME FL.1-PONT VIC. FL.3-PONT CHAMPLAIN FL.2"|"GG-KO"
"RUE WELLINGTON,RUE CENTRE,PONT CHAMPLAIN FL.3-PONT VIC."|"GG-KQ"
"TUNNEL ST-REMI, RUE EGLISE, RUE ST-PARTICK FL.1-BL.MONK"|"GG-KS"
"TUNNEL ST-REMI, RUE EGLISE, RUE ST-PATRICK FL.2-BL.MONK"|"GG-KT"
"TUNNEL ST-REMI,RUE EGLISE,RUE ST-PAT. FL.3 RUE ATWATER"|"GG-KU"
"RUE EGLISE, RUE ST-PATRICK, BL. MONK FL.1"|"GG-KV"
