"CODE_RPA","DESCRIPTION_RPA"
"AV-RA","\A 07h-09h30  15h-18h30 LUN. AU VEN."
"AV-RB","\A 06h-10h  15h30-19h30 LUN. AU VEN."
"AV-RC","\A 06h-10h  15h-19h LUN. AU VEN."
"AV-RD","\A 06h-09h  15h30-18h30 LUN. AU VEN."
"AV-RF","\A 08h-09h30  15h-18h30 LUN. AU VEN."
"AV-RJ","\A 05h-09h   15h30-18h30  LUN A VEN"
"AV-RK","\A 06h30-09h  16h-18h30 LUN A VEN"
"AV-RL","\A 07h-09h30  14h30-18h30 LUN A VEN"
"AV-RM","\A 05h30-09h30  14h30-18h30 LUN A VEN"
"AV-RO","\A 05h-09h30  14h-18h30 LUN. A VEN"
"BIDON","panneau bidon pour St-Léonard"
"BUS","Arrêt d'autobus"
"CA-1","ACHEMINEMENT CANAL LACHINE - FLECHE A DROITE"
"CA-2","ACHEMINEMENT CANAL LACHINE - FLECHE A GAUCHE"
"CA-3","ACHEMINEMENT CANAL LACHINE - FLECHE TOUT DROIT"
"CI-AA","AUTOCOLLANT DE PARCOMETRE - ARRET INTERDIT"
"CI-AB","AUTOCOLLANT DE PARCOMETRE - ARRET INTERDIT"
"CI-AF","AUTOCOLLANT DE PARCOMETRE - STAT. INTERDIT"
"CX-A","AUTOCOLLANT SIGN. PARC ""CHIENS INTERDITS"""
"CX-AB","AUTOCOLLANT SIGN. PARC ""USAGE EXCLUSIF ENFANTS 2-6 ANS"
"CX-AU","AUTOCOLLANT SIGN. PARC ""AUTO INTERDITE"""
"CX-AY","AUTOCOLLANT SIGN. PARC"
"CX-AZ","AUTOCOLLANT SIGN. PARC"
"CX-B","AUTOCOLLANT SIGN. PARC"
"CX-BA","AUTOCOLLANT SIGN. PARC"
"CX-BB","AUTOCOLLANT SIGN. PARC"
"CX-BC","AUTOCOLLANT SIGN. PARC ""INTERDIT NOURRIR PIGEONS"""
"CX-BN","AUTOCOLLANT SIGN. PARC INTERDIT AUX PATINS A ROULETTES"
"CX-C","AUTOCOLLANT SIGN. PARC ""INTERDIT DE JOUER AU GOLF"""
"CX-F","AUTOCOLLANT SIGN. PARC"
"CX-G","AUTOCOLLANT SIGN. PARC"
"CX-J","AUTOCOLLANT SIGN. PARC"
"CX-L","AUTOCOLLANT SIGN. PARC"
"CX-M","AUTOCOLLANT SIGN. PARC"
"CX-MO","AUTOCOLLANT SIGN. PARC ""MOTO INTERDITE"""
"CX-O","AUTOCOLLANT SIGN. PARC"
"CX-Q","AUTOCOLLANT SIGN. PARC"
"CX-R","AUTOCOLLANT SIGN. PARC"
"CX-S","AUTOCOLLANT SIGN. PARC"
"D-AA","""CHAMBRE DE VANNE"" LOGO NOIR SUR FOND JAUNE"
"D-AB","FLECHE A GAUCHE OU A DROITE POUR PANNEAU JAUNE ET NOIR"
"D-AC","FLECHE TOUT DROIT POUR PANNEAU JAUNE ET NOIR"
"D-AD","""BOMBARDIER INTERDIT"" (LARG. INSUFFISANTE OU FIN TROT.)"
"D-AE","PANONCEAU ""ACCES INTERDIT"""
"D-AV-1","AFFICHEUR DE VITESSE (23""X29"")"
"D-AV-2","AFFICHEUR DE VITESSE (30""X42"")"
"D-BF","BORNE-FONTAINE - LOGO NOIR SUR FOND JAUNE"
"D-CC","AUTOCOLLANT - CE COTE - (POUR PANNEAU DE STATIONNEMENT)"
"D-CE","BORNES SIAMOISES"
"D-CM","VOUS NE ROULEZ PAS? COUPEZ LE MOTEUR! (600 x 300)"
"D-CM-20","VOUS NE ROULEZ PAS? COUPEZ LE MOTEUR! (1200 x 600)"
"D-CS","CORRIDOR SCOLAIRE"
"D-CSA","CORRIDOR SCOLAIRE AHUNTSIC-CARTIERVILLE"
"D-CSSO","CORRIDOR SCOLAIRE SUD-OUEST"
"D-CUM-01","RALENTISSEZ C'EST PAYANT - 71 kM/h = 100$ + 2 POINTS ..."
"D-CUM-50","SI VOUS ROULEZ A .......DANS UNE ZONE DE 50 km/h"
"D-CUM-70","SI VOUS ROULEZ A .......DANS UNE ZONE DE 70 kh/h"
"D-LV","PROPRIETE DE LA VILLE"
"D-LV-I","PROPRIETE DE LA VILLE INFORMATION 514-872-3780"
"D-MR-*","L'EPREUVE DU MONT-ROYAL (EXPLOITS CYCLISTES)"
"D-PF","PROMENADE FLEURY"
"D-PH","PARCOMETRE"
"D-PM","PROMENADE MASSON"
"D-RV","RUELLE VERTE"
"D-SAD","STATIONNEMENT RESERVE EDIFICE ALBERT-DUMOUCHEL"
"D-TF","TOUR EN FIACRE -  TARIF  60 $/HEURE - 35 $ 1/2 heure"
"D-TP","TAXIS TETE DE STATION"
"DX-E","AUTOCOL. PIETON (UTILISER AVEC DX-A OU DX-B)"
"EB-AH","ANNULE \P 09h30-10h30 MAR.VEN. 1 MARS AU 1 DEC. ENTRETI"
"EB-AJ","ANNULE \P 09h-12h LUN. ET JEU. 1 MARS AU 1 DEC. ENTRETI"
"EB-AX","ANNULE \P 07h-09h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN"
"EB-AY","ANNULE \P 07h-09h MAR. VEN. 1 MARS AU 1 DEC. ENTRETIEN"
"EB-PG","ANNULE \P 13h-16h LUN. ET JEU. 1 MARS AU 1 DEC. ENTRETI"
"EB-SB","ANNULE \P 19h-24h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN"
"EB-VX","ANNULE \P 08h-10h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN"
"EU-PS","ANNULE \P 13h-16h VEN. 1 MARS AU 1 DEC. ENTRETIEN"
"EU-TA","\P 07h-19h CLIGNOTANT 22h-07h FIXE"
"EU-TF+F","\P ENTRETIEN (ORANGE) 07h-19h ou 19h-07h (flexible)"
"EU-TG","\P 10h-22h CLIGNOTANT 22h-10h FIXE"
"EU-TO","\P 07h-19h CLIGNOTANT 19h-07h FIXE"
"EU-VA","ANNULE \P 09h-12h LUN. 1 MARS AU 1 DEC. ENTRETIEN"
"EU-VB","ANNULE \P 09h-12h MAR. 1 MARS AU 1 DEC. ENTRETIEN"
"EU-VD","ANNULE \P 09h-12h VEN. 1 MARS AU 1 DEC. ENTRETIEN"
"EU-VM","ANNULE \P 09h-12h MER. 1 MARS AU 1 DEC. ENTRETIEN"
"EV-VH","ANNULE \P 08h-09h LUN. AU VEN. 1 MARS AU 1 DEC. ENTRETI"
"FB-*","PANONCEAU FLECHE POUR PANNEAUX AUT. DU MTQ"
"FB-E","EST FOND BLEU"
"FB-F","FIN"
"FB-N","NORD FOND BLEU"
"FB-O","OUEST FOND BLEU"
"FB-S","SUD FOND BLEU"
"G-10","AUTOROUTE 10"
"G-112","ROUTE 112  (fourni par le MTQ)"
"G-117","ROUTE 117  -  FOND VERT   (boul. Laurentien)"
"G-125","ROUTE 125  -  FOND VERT  (Pie-IX)"
"G-134","ROUTE 134  -  FOND VERT  (boul. Tachereau)"
"G-138","ROUTE 138  -  FOND VERT  (Sherbrooke)"
"G-15","AUTOROUTE 15  -  FOND BLEU"
"G-19","Panneaux d'autoroute 19  (fourni par MTQ)"
"G-20","AUTOROUTE 20"
"G-25","AUTOROUTE 25  -  FOND BLEU"
"G-335","ROUTE 335  -  FOND VERT  (St-Denis)"
"G-40","AUTOROUTE 40  -  FOND BLEU"
"G-720","AUTOROUTE 720  - FOND BLEU"
"GA-A","NORD"
"GA-AA","XXX M (PANONCEAU DE DISTANCE)"
"GA-AB","XXX KM (PANONCEAU DE DISTANCE)"
"GA-B","IMPASSE CIRCULATION LOCALE SEULEMENT"
"GA-C","SUD"
"GA-C-1","SUD"
"GA-DT-*","DEMI-TOUR                        * = FLECHE"
"GA-E","EST"
"GA-F-*","54e AVENUE VIA DEMI-TOUR        *=FLECHE"
"GA-G","OUEST"
"GA-G-1","OUEST"
"GA-GA","GARDERIE (PICTOGRAMME)"
"GA-GB","BIBLIOTHEQUE (PICTOGRAMME)"
"GA-GC","CENTRE COMMUNAUTAIRE (PICTOGRAMME)"
"GA-GD","ARENA (PICTOGRAMME)"
"GA-GE","EGLISE (PICTOGRAMME)"
"GA-GF","GARE FERROVIAIRE (PICTOGRAMME)"
"GA-GG","PISCINE EXTERIEURE (PICTOGRAMME)"
"GA-GH","PISCINE INTERIEURE (PICTOGRAMME)"
"GA-GL","TRAIN DE BANLIEU (FOURNI PAR MTQ)"
"GA-GM","GOLF  "
"GA-GN","ROULODOME ET SKATEPARK"
"GA-GO","BASEBALL, TENNIS, PATINOIR, STATIONNEMENT"
"GA-H","IMPASSE (NOM DE LA RUE)"
"GA-I-*","RUE NOTRE-DAME EST VIA DEMI-TOUR"
"GA-J","RUE RIVARD SENS DE RUE MODIFIE EN VIGUEUR 21 FEVRIER 2011"
"GA-L","RUELLE FERMEE DU 1ER MAI AU 1ER NOV."
"GA-Q","CIRCULATION LOCALE SEULEMENT"
"GA-R","ACHEMINEMENT CAMION"
"GA-T","TEST DE CHAUSSEE COLOREE"
"GA-TA","ACCES 400 A 500 ST-PAUL E., AUTO T.DROIT,CAMION A GAUCH"
"GA-TC-*","ACCES 400 A 500 ST-PAUL EST   *=FLECHE"
"GA-TF-*","ACCES 7075 Boul.GOUIN EST"
"GB-A","HOTEL DE VILLE, COUR MINIC., CHAUSSEGROS..., P.JUSTICE"
"GB-B","HOTEL DE VILLE, COUR MUNIC., CHAUSSEGROS..., P.JUSTICE"
"GB-C","HOTEL DE VILLE, COUR MUNIC., CHAUSSEGROS..., P.JUSTICE"
"GB-D-*","NAVETTE - PARC JEAN-DRAPEAU-LONGUEUIL (PIETONS + CYCLISTES)"
"GC-AA-*","PONT JACQUES CARTIER (AVEC FLECHE APPROPRIEE)"
"GC-AB","RUE CENTRE FL.3"
"GC-AD","PONT VICTORIA (VIA RUES WILLIAM ET DES SEIGNEURS) FL.2"
"GC-AE","PONT DES SEIGNEURS MAXIMUM 16 TONNES"
"GC-AG-*","RUE NOTRE-DAME - * SELON DIR. FLECHES"
"GC-AI-*","CENTRE-VILLE - * SELON DIR. FLECHES"
"GC-AJ-*","PONT CHAMPLAIN - * SELON DIR. FLECHES"
"GC-AK-*","PONT PAPINEAU-LEBLANC    * = FLECHE"
"GC-AN-*","MARCHE ATWATER"
"GC-AO-*","MARCHE ST-JACQUES"
"GC-AP-*","MARCHE MAISONNEUVE"
"GC-AQ-*","MARCHE JEAN-TALON"
"GC-AS-*","RUE D'IBERVILLE       *=FLECHE"
"GC-AT-*","BOULEVARD SAINT-JOSEPH     *=FLECHE"
"GC-AU-*","RUE LACORDAIRE             *=FLECHE"
"GC-AV-*","RUE SHERBROOKE             *=FLECHE"
"GC-AW-*","PONT WELLINGTON            *=FLECHE"
"GC-AX-*","BOUL. DE L'ACADIE          *=FLECHE"
"GC-AZ-*","AVENUE CORONATION VIA MONKLAND    *=FLECHE"
"GC-BA-*","2324 ET 2425 RUE JOLIETTE   *=FLECHE"
"GC-BB-*","PLAZA MONK   *=FLECHE"
"GC-BD-*","MARCHE PUBLIC DU VIEUX POINTE-AUX-TREMBLES"
"GC-BE-*","MONTREAL              * = FLECHE"
"GC-BF-*","PLACE TURCOT     * = FLECHE"
"GC-BG-*","RUE JEAN-TALON   (* = FLECHE)"
"GC-BH-*","RUE SHERBROOKE       * = FLECHE "
"GC-BI","RUE JEAN-TALON, FL.1 - EST"
"GC-BJ","RUE JEAN-TALON, FL.13 - EST"
"GC-BK","RUE JEAN-TALON, FL.3 - EST"
"GC-BL","RUE JEAN-TALON - FL.2, OUEST   EST, FL.3"
"GC-BM","RUE JARRY, FL.1 (ALLONGEE) - EST"
"GC-BN","RUE JARRY, FL.1 (ALLONGEE) - OUEST"
"GC-BO","RUE JARRY, FL.3 - OUEST"
"GC-BP","RUE JARRY, FL.3 - EST"
"GC-BQ","RUE JARRY, FL.13 - EST"
"GC-BR","RUE JARRY, FL.13 - OUEST"
"GC-BS","RUE JARRY - FL.2, OUEST   EST, FL.3"
"GC-BT","RUE JARRY - FL.2, EST   OUEST, FL.3"
"GC-BV-*","TUNNEL ATWATER"
"GC-BX-*","RUE JOLICOEUR      *= FLECHE"
"GC-F-1","FLECHE 2 - PONT VICTORIA"
"GC-F-2","FLECHE 1 - PONT VICTORIA"
"GC-F-3","FLECHE 3 - PONT VICTORIA"
"GC-H-3","RUE HOGAN FLECHE A"
"GC-K","FLECHE 3 - CENTRE - ST-PATRICK"
"GC-OO-13","RUE ONTARIO, TOUT DROIT, A DROITE"
"GC-Q-1","FLECHE 2 - PARC ANGRIGNON"
"GC-Q-3","FLECHE 3 - PARC ANGRIGNON"
"GC-R-3","FLECHE 1 - SORTIE"
"GC-R-5","FLECHE 3 - SORTIE"
"GC-SH-12","RUE SHERBROOKE FLECHE A GAUCHE"
"GC-SL-*","FLECHE 2 - BOUL. ST-LAURENT"
"GC-U-1","SECURITE INCENDIE (4040, AV. DU PARC)"
"GC-U-2","SECURITE INCENDIE - QUARTIER GENERAL - FLECHE"
"GC-V","FLECHE 3 - CIMETIERE MONT-ROYAL"
"GC-X","FLECHE 2 - VERDUN"
"GC-X-04","FLECHE 3 - VERDUN"
"GC-X-10","FLECHE 2 - AV. DE L'EGLISE"
"GC-Z-05","FLECHE 3 - SITE HISTORIQUE - MAISON ST-GABRIEL"
"GC-Z-17","FLECHE 1 - MONTREAL"
"GC-Z-45","FLECHE 3 - RUE SHERBROOKE, BOUL. PIE IX"
"GC-Z-56","FLECHE 12 - BOUL. LAURENTIEN"
"GC-Z-64","FLECHE 2 - RUE ST-JACQUES"
"GC-Z-64A","FLECHE 3 - RUE ST-JACQUES"
"GC-Z-64B","FLECHE 1 - RUE ST-JACQUES"
"GC-Z-74","FLECHE 3 - BOUL. TRICENTENAIRE"
"GC-Z-81-1","FLECHE 2 - 669 ET 755 EST, BOUL. HENRI-BOURASSA"
"GC-Z-81-2","669 ET 755 EST, BOUL. HENRI-BOURASSA, FLECHE 3"
"GC-Z-92","RUE UNIVERSITY NORD, VIA MANSFIELD, FLECHE 1"
"GC-Z-93","FLECHE 12, RUE UNIVERSITY NORD, VIA MANSFIELD"
"GC-Z-94","RUE UNIVERSITY NORD, FLECHE 3"
"GC-Z-95","FLECHE 12, RUE UNIVERSITY NORD"
"GC-Z-96","FL. 4 MARCHE ATWATER - VOIE DE GAUCHE"
"GD-A","CHEMIN QUEEN MARY, OUEST, FLECHE 5"
"GD-AB-*","RUE JARRY EST - * SELON DIR. FLECHES"
"GD-AC-*","669 A 755 EST HENRI-BOURASSA (VIA RUE MILLEN)"
"GD-AE-*","BOUL. HENRI-BOURASSA - * SELON FLECHE"
"GD-AH","RUE LACORDAIRE NORD=FLECHE 2, SUD=FLECHE 3"
"GD-AI-*","BOUL. ROBERT EST   * = FLECHE"
"GD-B","RUE ST-URBAIN, SUD, FLECHE 3"
"GD-C","BOUL. ST-LAURENT, FLECHE 2, NORD"
"GD-F-2","ROUTE 40, EST, FLECHE 5, BOUL. METROPOLITAIN"
"GD-G","RUE SHERBROOKE, FLECHE 2, EST"
"GD-G-1","RUE SHERBROOKE, EST, FLECHE 3"
"GD-I","METROPOLITAIN, EST, FLECHE 3"
"GD-J","BOUL. ST-LAURENT, FLECHE 2, SUD"
"GD-O","BOUL. ST-LAURENT, NORD, FLECHE 5"
"GD-P","FL. 2, RUE SHERBROOKE, EST - FL. 2, BOUL PIE IX"
"GD-Q","BOUL.GOUIN, FLECHE 2, EST"
"GD-R","PONT LACHAPELLE, FLECHE 2, NORD"
"GD-T","CLARK, FLECHE 2, SUD"
"GD-U","CLARK, SUD, FLECHE 5"
"GD-V","BOUL. DE L'ACADIE, FLECHE 4, SUD - NORD, FLECHE 5"
"GE-A","FLECHE 4, AV. DU MONT-ROYAL - CH. COTE-DES-NEIGES"
"GE-AA","RUE SHERBROOKE, FLECHE 1 - RUE RACHEL, FLECHE 5"
"GE-AB-*","AV. LOUIS-HEBERT, RUE CHAPLEAU, FLECHE AU CHOIX"
"GE-AC","FLECHE 1, RUE JARRY - VOIE LOCALE (RUE JARRY), FL.5"
"GE-B","FLECHE 4, CH. COTE-DES-NEIGES - AV. DU MONT-ROYAL, FLEC"
"GE-B-1","FLECHE 4, CH. COTE-DES-NEIGES - AV. DU MONT-ROYAL, FLEC"
"GE-B-2","FLECHE 2, AV. DU MONT-ROYAL - CH. COTE-DES-NEIGES"
"GE-C-1","FLECHE 4, RUE HOCHELAGA - RUE SHERBROOKE"
"GE-D","FLECHE 4, JARRY - CREMAZIE, FLECHE 5"
"GE-F","FLECHE 4, AV. DES PINS - AV. DU PARC, FLECHE 5"
"GE-G","FLECHE 4, Q.G. INCENDIE - AV. DU PARC, FLECHE 5"
"GE-L","FLECHE 4, UPPER LACHINE - ST-JACQUES, FLECHE 5"
"GE-LA-2","FL. 2, UPPER LACHINE, ST-JACQUES"
"GE-O","CHERRIER OUEST FLECHE 4, EST FLECHE 5 - SHERBROOKE FLEC"
"GE-QA","RUE ST-PATRICK, RUE CENTRE FL.3"
"GE-QC","RUE NOTRE-DAME FL.2 - PONT VICTORIA FL.1"
"GE-QD","BL. MONK FL.3 - DE LA VERENDRYE FL.1"
"GE-QG","PONT CHAMPLAIN, VERDUN FL.2"
"GE-QL","9021A9121 ET 9020A9200 FL.2 - 9027A9237ET9036A9156 FL.3"
"GE-QM","9027A9237 ET 9036A9156 FL.2 - 9021A9121ET9020A9200 FL.3"
"GE-QN","FLECHE 4, SHERBROOKE  -  FLECHE 5, H.-BOURASSA"
"GE-QO","HENRI BOURASSA FLECHE 1-MARIEN FLECHE 5"
"GE-QP","RUES HOCHELAGA ET SHERBROOKE  -  FLECHE 3"
"GE-QQ","A-15.20, FL.1 (ALLONGEE)  -  DE L'EGLISE NORD ET SUD, FL.13"
"GE-R","FLECHE 4, UNIVERSITE DE MONTREAL - SUD + OUEST, FLECHE"
"GE-S-1","FLECHE 1, UNIVERSITE DE MONTREAL - FLECHE 2 EST + NORD"
"GE-T-08","FL. 4, ROUTES 10,15,20, PONT CHAMP.-ROUTES 20,132,134 P"
"GE-T-17","ROUTES 10, 15, 20, PONT CHAMPLAIN, FLECHE 2"
"GE-T-19","ROUTES 10, 15, 20, PONT CHAMPLAIN, FLECHE 3"
"GE-Y","FLECHE 4, SHERBROOKE - CHERRIER, FLECHE 5"
"GE-Z-03","FLECHE 1, VERDUN - AV. DE L`EGLISE, FLECHE 3"
"GE-Z-05","FLECHE 4, RUE JARRY - FLECHE 4, BOUL. CREMAZIE"
"GF-A","FLECHE 4, EST + SUD - AV. DES PINS, OUEST, FLECHE 5"
"GF-G","FLECHE 2, CLARK, SUD - ST-URBAIN, FLECHE 1"
"GG-F","FLECHE 4, PONT JACQUES-CARTIER - SUD + EST, FLECHE 1"
"GG-F-01","FLECHE 1, PONT JACQUES-CARTIER - EST + SUD, FLECHE 3"
"GG-F-02","FLECHE 2, NORD + OUEST - PONT JACQUES-CARTIER, FLECHE 5"
"GG-I","FL.1, RUE GUY - STE-CATHERINE, RENE-LEVESQUE, FLECHE 5"
"GG-KA","TUNNEL WELLINGTON, RUE ST-PATRICK FL.2-RUE ATWATER FL.1"
"GG-KB","TUNNEL WELLINGTON, RUE ST-PATRICK FL.1-RUE ATWATER FL.3"
"GG-KC","RUE WELLINGTON, RUE ST-PATRICK, PONT VICTORIA FL.1"
"GG-KE","RUE ST-PATRICK, RUE CENTRE FL.2 - RUE ATWATER FL.1"
"GG-KF","RUE ATWATER FL.1 - RUE ST-PATRICK, RUE CENTRE FL.2"
"GG-KG","TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.5"
"GG-KH","TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.3"
"GG-KI","TUNNEL ATWATER, RUE ST-PATRICK, RUE CENTRE, VERDUN FL.2"
"GG-KJ","RUE CENTRE, PONT VICTORIA, RUE CHARLEVOIX FL.3"
"GG-KK","TUNNEL ATWATER, RUE NOTRE-DAME FL.2-PONT CHAMPLAIN FL.1"
"GG-KL","RUE ST-PATRICK FL.3-TUNNEL ATWATER, RUE NOTRE-DAME FL.5"
"GG-KM","RUE CENTRE,RUE WELLING.FL.1-PONT CHAMP.FL.3-VERDUN FL.2"
"GG-KN","RUE NOTRE-DAME FL.3-RUE CENTRE,RUE WELLINGTON FL.2-PONT"
"GG-KO","RUE NOTRE-DAME FL.1-PONT VIC. FL.3-PONT CHAMPLAIN FL.2"
"GG-KQ","RUE WELLINGTON,RUE CENTRE,PONT CHAMPLAIN FL.3-PONT VIC."
"GG-KS","TUNNEL ST-REMI, RUE EGLISE, RUE ST-PARTICK FL.1-BL.MONK"
"GG-KT","TUNNEL ST-REMI, RUE EGLISE, RUE ST-PATRICK FL.2-BL.MONK"
"GG-KU","TUNNEL ST-REMI,RUE EGLISE,RUE ST-PAT. FL.3 RUE ATWATER"
"GG-KV","RUE EGLISE, RUE ST-PATRICK, BL. MONK FL.1"
"GG-KW","RUE ST-PATRICK, BL. MONK FL.3 - DE LA VERENDRYE FL.2"
"GG-KY","TUNNEL ST-REMI FL.1-RUE ST-PAT. FL.2-RUE N.-D. FL.1,2.."
"GG-KZ","TUNNEL ST-REMI FL.2 - DE LA VERENDRYE, VERDUN FL.1"
"GG-LA","BL. MONK FL.1 - RUE NOTRE-DAME FL.3 - VERENDRYE FL.2"
"GG-LC","RUE ATWATER FL.3 - RUE WELLINGTON, RUE ST-PATRICK FL.1"
"GG-LD","RUE ATWATER FL.1 - RUE WELLINGTON, RUE ST-PATRICK FL.2"
"GG-LF","RUE LAFONTAINE-FL4,AV.PAPINEAU-FL4,PONT J.-CARTIER-FL5"
"GG-LG","TUNNEL ATWATER FL4, RUE CENTRE FL5, RUE ST-PATRICK FL1"
"GH-F","FL.4, UPPER LACHINE, ST-JACQUES, DE MAISONNEUVE, FL.1"
"GK-A","BOUL. SAINT-JEAN-BAPTISTE  (PRE-SIGNAL NOM DE RUE)"
"GK-C","BOUL. M.-DUPLESSIS  -  OUEST FL. 3  -  EST FL. 2"
"GK-E-*","RUE ARTHUR-LEVEILLE  EST      * = FLECHE"
"GK-H","BOUL. A.-BOMBARDIER FL.2   -   BOUL. RAY-LAWSON FL.3"
"GK-I","BOUL. A.-BOMBARDIER FL.3   -   BOUL. RAY-LAWSON FL.2"
"GK-J","RODOLPHE-FORGET NORD  FL.2  (SUD FL.3  A VENIR)"
"GK-K","RODOLPHE-FORGET NORD  FL.3  (SUD FL.2  A VENIR)"
